,stars,title,body,date
0,3,no_title,Good product and good value.,"Reviewed in the United States on August 8, 2014"
1,5,no_title,"Bought to try for daughter that has trouble swallowing thin liquids. It definitely helps, and she said her drinks do not taste different. Great value.","Reviewed in the United States on April 20, 2021"
2,5,no_title,Nothing bad to say about this product.  It works perfectly for my husband.  He has had no issues.,"Reviewed in the United States on March 19, 2021"
3,5,no_title,"It does exactly what it is supposed to do. Thicken your water lol. I bought this for my dogs because they choke on the water. I let them try it and they drank it, but they still choked. Completely flavorless. We tried it as well and it simply onlychanges the texture.","Reviewed in the United States on April 7, 2021"
4,5,no_title,"Mixes well with liquids when you make this it should be like a nectar consistency, use it for my 90 year old dad with swallowing problems, works great.","Reviewed in the United States on March 27, 2021"
5,5,no_title,It does what it is supposed to do. Well.,"Reviewed in the United States on August 30, 2014"
6,4,no_title,good.,"Reviewed in the United States on May 2, 2016"
7,4,no_title,"The product works well for my needs.  The container's opening is a bit awkward to put my hand in to grab the small scoop.  I purchased a different container with a very wide opening, problem solved!","Reviewed in the United States on August 29, 2017"
8,1,no_title,"This product was given by my pharmacy in place of the thickening agent that was prescribed for my aspirating 5 month old daughter.  She immediately started having severely runny BMs after being a regular clay-once-a-dayer.  Turns out this is made of modified food starch and maltodextrin.  It even notes on the container that 1 serving of 2 Tablespoons = 1/2 fruit serving.  As a thickener for an infant, it's 2Tbsp per 4-5oz bottle - 6 times a day - or 3 fruit servings....!  No wonder she had watery poos - the kind where we change her a minimum of 3x day.  It was ridiculous and completely unsuitable for an infant. Like giving way too much apple juice for constipation.  WAY too much.Also, when used for aspirating, it doesn't thicken evenly, so it really didn't do the job for aspirating as well as it gets thicker with time so it was awful trying to get the bottles to work with daycare.  I hated all 14 days we used this product and refuse to use it again. Total nightmare.I think this may be a good product for adults but most certainly not aspirating infants.","Reviewed in the United States on July 19, 2012"
9,4,no_title,Easy to use...I'd use less product than they suggest and add if needed. This thickens up!!,"Reviewed in the United States on August 11, 2017"
10,5,no_title,I have a grandson that is  a total invalid and he has to have this added to everything he drinks and sometimes it needs to be added to certain food.Great product.,"Reviewed in the United States on July 17, 2016"
11,1,no_title,"I tried putting it in yogurt, but it gave the yogurt a gritty unappetizing texture.","Reviewed in the United States on April 26, 2017"
12,5,no_title,Great Product.,"Reviewed in the United States on June 16, 2016"
13,5,no_title,As good as it gets  !!!!,"Reviewed in the United States on August 22, 2016"
14,5,no_title,Order always arrives promptly. I order from Precision Foods Inc often. Extremely satisfied,"Reviewed in the United States on July 6, 2016"
15,5,no_title,"This product saves so much in the large size.d When this is used for every drink, it is a valuable size. Thanks for offering it!","Reviewed in the United States on January 10, 2012"
16,2,no_title,Not really what I will buy again.,"Reviewed in the United States on September 25, 2014"
17,4,no_title,It seems to do the trick.,"Reviewed in the United States on December 13, 2016"
18,1,no_title,The container I received has been working very very poorly for us - we've been using Thick It for a few months and it has been going fine until this container. I know the consistency to look for as I'm a speech language pathologist. I've been having to add at least double the usual amount to try to thicken to the right consistency. I'm finally at my wits end having added at least 2 tsp to a 1/2 oz and it is barely past a thin consistency so I'm going to the pharmacy now to buy a different batch.,"Reviewed in the United States on November 26, 2016"
19,4,no_title,Great for people who have trouble swallowing liquids.,"Reviewed in the United States on May 26, 2015"
20,5,no_title,Fast shipping!A+++,"Reviewed in the United States on April 28, 2015"
21,5,no_title,works really well,"Reviewed in the United States on June 7, 2015"
22,5,no_title,"It works very good and I will order It again in the furture.  Thank you and have a nice day, Christina Knight","Reviewed in the United States on February 25, 2013"
23,5,no_title,My father 92+ needs this  to mix with water that control the coughing for safety reason. Sorry Medicare did not cover the cost. I do not know why ?,"Reviewed in the United States on November 23, 2015"
24,5,no_title,everything was fine,"Reviewed in the United States on May 15, 2016"
25,3,no_title,"Works well with liquids, not so good with solids. i thought the ad was a little misleading, but read everything twice.","Reviewed in the United States on March 3, 2014"
26,5,no_title,"this stuff is great. I have a kitty I rescued that has no tongue, so he can't drink water. I get his water pudding consistency and mix it in with his food. He is probably the most hydrated cat around.  Will keep buying this as long as he is with us...thanks.","Reviewed in the United States on May 1, 2013"
27,5,no_title,Yo lo utilizo para sopas y liquidos,"Reviewed in the United States on December 8, 2020"
28,5,no_title,Great product came quickly,"Reviewed in the United States on April 16, 2021"
29,5,no_title,Best for my elderly mother.,"Reviewed in the United States on November 29, 2014"
30,5,no_title,"Works as advertised, does the job.","Reviewed in the United States on May 31, 2017"
31,4,no_title,Good price and quick delivery.,"Reviewed in the United States on June 20, 2015"
32,5,no_title,It is exactly what I needed/wanted and was received in a timely manner. Excellent service. Thank you.,"Reviewed in the United States on May 25, 2015"
33,4,no_title,"Thick-It works for those with swallowing difficulties.  It thickens liquids, reducing the choking and gagging.  Since it's tasteless, it is pretty much undetectable.  We've been using it for years.","Reviewed in the United States on April 28, 2013"
34,5,no_title,Excellent.  Just as expected.,"Reviewed in the United States on October 22, 2014"
35,5,no_title,Great to use when you have problems with swallowing.,"Reviewed in the United States on November 8, 2014"
36,3,no_title,Separates too much even when I slowing add it to the liquid and stir it vigorously.,"Reviewed in the United States on October 7, 2017"
37,5,no_title,excellent product buy it every month,"Reviewed in the United States on March 14, 2018"
38,5,no_title,good,"Reviewed in the United States on October 20, 2016"
39,5,no_title,Service and product are great!,"Reviewed in the United States on October 6, 2015"
40,4,no_title,needed this,"Reviewed in the United States on August 9, 2017"
41,5,no_title,literarly a lifesaver!!! thanks for wonderful service!,"Reviewed in the United States on January 12, 2017"
42,5,no_title,"After a 3 week stint in ICU with pneumonia, our son was suffering from swallowing difficulties. He had a swallowing test and they recommended us using this product. It has allowed him to still enjoy all his favorite juices.","Reviewed in the United States on August 17, 2013"
43,5,no_title,great product at a great value!,"Reviewed in the United States on April 25, 2016"
44,5,no_title,Best price in the market,"Reviewed in the United States on May 4, 2017"
45,5,no_title,just what the doctor ordered.,"Reviewed in the United States on November 26, 2019"
46,4,no_title,"My wife has begun to have difficulty swallowing with several episodes of aspiration and I searched for some help in this regard. Her doctor suggested Thick-It. I was happy to find it on Amazon.com where most of my wife's needs come from. I have only used it for several days but it does seem to make swallowing liquids easier for her. So far there have been no further episodes of aspiration. It's easy to mix and use. I will comment further as our use of the product continues. One negative has been a supercilious and snide attitude of the dispensing company  TOG-OTC to a simple question I posed to them concerning the product. Otherwise, so far so good.","Reviewed in the United States on May 23, 2014"
47,5,no_title,Does the job for my Dad's drinks.  He has problems swallowing thin liquids.,"Reviewed in the United States on April 3, 2017"
48,5,no_title,good quality,"Reviewed in the United States on April 24, 2017"
49,5,no_title,"Have used a couple of brands of thickening agent for folks with swallowing difficulty.  This works just like the others, comes in a nice, large container.","Reviewed in the United States on September 28, 2015"
50,5,no_title,Wonderful product had to buy it again.  Helps my patient swallow any types of food highly recommend,"Reviewed in the United States on September 22, 2015"
51,5,no_title,Good stuff,"Reviewed in the United States on April 24, 2018"
52,5,no_title,Great I will be buy more,"Reviewed in the United States on July 21, 2017"
53,5,no_title,Excellent. Just as advertised.,"Reviewed in the United States on August 2, 2017"
54,5,no_title,Great price and it is what my 94 year old mother needed to prevent chocking.,"Reviewed in the United States on May 29, 2016"
55,5,no_title,"For people who can drink only thickened liquids and consume certain foods.  There are only two or three brands to choose from, and Thick-It seem to work the best for me.","Reviewed in the United States on October 2, 2015"
56,5,no_title,Great product for anyone dealing with Dysphasia.,"Reviewed in the United States on July 16, 2020"
57,5,no_title,Having trouble drinking and this fixed bed bound resident right up.,"Reviewed in the United States on November 2, 2018"
58,1,no_title,Item arrived damaged,"Reviewed in the United States on April 26, 2020"
59,5,no_title,Just what I needed,"Reviewed in the United States on May 13, 2018"
60,5,no_title,Good value,"Reviewed in the United States on October 17, 2019"
