,title,content,date,variant,images,verified,author,rating,product,url
0,Thick it works .....,Easy to thicken and works very well.  Unfortunately it takes quite a bit for each cup.  So I  am using a lot .  But it works so am very happy.,22 Apr 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,Amazon Customer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
1,Five Stars,Great Product.,16 Jun 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,Mildred S. Hanby,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
2,Five Stars,As good as it gets  !!!!,22 Aug 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,bamatown,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
3,Five Stars,Order always arrives promptly. I order from Precision Foods Inc often. Extremely satisfied,06 Jul 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,Heidi Morehouse,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
4,Three Stars,Good product and good value.,08 Aug 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,Grammy O,3.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
5,Great value,"Bought to try for daughter that has trouble swallowing thin liquids. It definitely helps, and she said her drinks do not taste different. Great value.",20 Apr 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Renee Bourasaw,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
6,Husband can only ingest thickened liquids.,Nothing bad to say about this product.  It works perfectly for my husband.  He has had no issues.,19 Mar 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Joyce Stoddard,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
7,Thickens your water,"It does exactly what it is supposed to do. Thicken your water lol. I bought this for my dogs because they choke on the water. I let them try it and they drank it, but they still choked. Completely flavorless. We tried it as well and it simply only changes the texture.",07 Apr 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Denise M.,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
8,Good stuff,"Mixes well with liquids when you make this it should be like a nectar consistency, use it for my 90 year old dad with swallowing problems, works great.",27 Mar 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Tom.V,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=45
9,This is a good product,"It works very good and I will order It again in the furture.  Thank you and have a nice day, Christina Knight",25 Feb 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Christina Knight,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
10,Recommend by doctor if you need it.,My father 92+ needs this  to mix with water that control the coughing for safety reason. Sorry Medicare did not cover the cost. I do not know why ?,23 Nov 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Kin L.,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
11,Five Stars,everything was fine,15 May 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,albert kalafian,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
12,Functional thickener.,It does what it is supposed to do. Well.,30 Aug 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,isa,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
13,Four Stars,good.,02 May 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Bruce A.,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
